有價證券代號,名稱,上市日,產業別
3426,台興,2016/12/21,電機機械
3434,哲固,2008/01/28,光電業
3438,類比科,2006/07/19,半導體業
3441,聯一光,2010/10/04,光電業
3444,利機,2008/09/26,電子通路業
3452,益通,2006/03/08,光電業
3455,由田,2007/12/27,光電業
3465,進泰電子,2008/01/28,電子零組件業
3466,致振,2006/05/17,通信網路業
3479,安勤,2010/06/08,電腦及週邊設備業
3483,力致,2006/12/18,電腦及週邊設備業
3484,崧騰,2007/11/09,電子零組件業
3489,森寶,2007/09/29,建材營造業
3490,單井,2007/10/15,光電業
3491,昇達科,2008/01/03,通信網路業
3492,長盛,2015/05/18,電子零組件業
3498,陽程,2007/09/11,其他電子業
3499,環天科,2006/10/19,通信網路業
3508,位速,2007/10/17,其他電子業
3511,矽瑪,2009/02/16,電子零組件業
3512,皇龍,2007/07/25,電子零組件業
3516,亞帝歐,2007/11/29,光電業
3520,振維,2007/10/12,電子零組件業
3521,鴻翊,2007/08/07,電腦及週邊設備業
3522,御頂,2007/10/15,觀光事業
3523,迎輝,2007/11/16,光電業
3526,凡甲,2007/11/02,電子零組件業
3527,聚積,2007/10/29,半導體業
3529,力旺,2011/01/24,半導體業
3531,先益,2008/04/08,光電業
3537,堡達,2010/01/25,電子零組件業
3540,曜越,2007/12/12,電腦及週邊設備業
3541,西柏,2009/12/22,其他電子業
3546,宇峻,2008/04/18,文化創意業
3548,兆利,2008/03/27,電子零組件業
3551,世禾,2008/04/15,其他電子業
3552,同致,2009/01/07,其他電子業
3555,重鵬,2011/11/08,半導體業
3556,禾瑞亞,2008/04/15,半導體業
3558,神準,2013/12/30,通信網路業
3562,頂晶科,2008/06/17,光電業
3564,其陽,2013/12/03,通信網路業
3567,逸昌,2010/11/22,半導體業
3570,大塚,2008/10/23,資訊服務業
3577,泓格,2009/01/06,電腦及週邊設備業
3580,友威科,2010/07/09,其他電子業
3581,博磊,2015/01/20,半導體業
3587,閎康,2009/08/18,其他電子業
3594,磐儀,2013/05/07,電腦及週邊設備業
3609,東林,2011/01/11,電子零組件業
3611,鼎翰,2008/11/26,電腦及週邊設備業
3615,安可,2009/04/15,光電業
3623,富晶通,2010/04/28,光電業
3624,光頡,2011/03/16,電子零組件業
3625,西勝,2009/10/28,電腦及週邊設備業
3628,盈正,2010/09/09,其他電子業
3629,地心引力,2010/05/27,光電業
3630,新鉅科,2010/04/26,光電業
3631,晟楠,2010/12/20,電子零組件業
3632,研勤,2011/01/11,通信網路業
3642,駿熠電,2011/09/29,其他電子業
3646,艾恩特,2012/03/27,電子零組件業
3652,精聯,2009/08/27,電腦及週邊設備業
3663,鑫科,2012/11/20,其他電子業
3664,安瑞-KY,2010/06/24,通信網路業
3666,光耀,2014/12/04,光電業
3672,康聯訊,2015/04/20,通信網路業
3675,德微,2012/06/29,半導體業
3680,家登,2011/08/31,半導體業
3684,榮昌,2014/03/28,通信網路業
3685,元創精密,2010/12/08,光電業
3687,歐買尬,2011/01/11,文化創意業
3689,湧德,2012/10/18,電子零組件業
3691,碩禾,2010/11/18,光電業
3693,營邦,2013/11/27,電腦及週邊設備業
3707,漢磊,2014/10/01,半導體業
3709,鑫聯大投控,1999/04/16,電腦及週邊設備業
3710,連展投控,2017/12/29,電子零組件業
4102,永日,2001/03/20,生技醫療業
4105,東洋,2001/09/27,生技醫療業
4107,邦特,2002/03/04,生技醫療業
4109,加捷生醫,2002/08/08,生技醫療業
4111,濟生,1999/03/06,生技醫療業
4113,聯上,2003/07/22,建材營造業
4114,健喬,2003/05/12,生技醫療業
4116,明基醫,2015/12/16,生技醫療業
4120,友華,2003/11/05,生技醫療業
4121,優盛,2003/07/25,生技醫療業
4123,晟德,2003/10/07,生技醫療業
4126,太醫,2004/02/09,生技醫療業
4127,天良,2005/07/29,生技醫療業
4128,中天,2006/06/09,生技醫療業
4129,聯合,2004/09/29,生技醫療業
4130,健亞,2012/01/12,生技醫療業
4131,晶宇,2004/04/09,生技醫療業
4138,曜亞,2010/12/29,生技醫療業
4139,馬光-KY,2011/04/29,生技醫療業
4147,中裕,2015/11/23,生技醫療業
4152,台微體,2012/12/21,生技醫療業
4153,鈺緯,2013/05/23,生技醫療業
4154,康樂-KY,2011/12/28,生技醫療業
4157,太景*-KY,2013/08/30,生技醫療業
4160,創源,2012/09/17,生技醫療業
4161,聿新科,2013/06/26,生技醫療業
4162,智擎,2012/09/18,生技醫療業
4163,鐿鈦,2012/11/15,生技醫療業
4167,展旺,2015/09/08,生技醫療業
4168,醣聯,2012/12/18,生技醫療業
4171,瑞基,2018/03/28,農業科技業
4173,久裕,2013/10/31,生技醫療業
4174,浩鼎,2015/03/23,生技醫療業
4175,杏一,2014/04/23,生技醫療業
4183,福永生技,2017/03/09,生技醫療業
4188,安克,2015/03/24,生技醫療業
4192,杏國,2014/10/28,生技醫療業
4198,環瑞醫,2014/12/23,生技醫療業
4205,中華食,1999/01/31,食品工業
4207,環泰,2000/01/21,食品工業
4303,信立,1999/03/10,塑膠工業
4304,勝昱,2000/01/27,塑膠工業
4305,世坤,2000/09/28,塑膠工業
4401,東隆興,1996/05/09,紡織纖維
4402,福大,1997/07/23,紡織纖維
4406,新昕纖,1999/01/14,紡織纖維
4413,飛寶,1999/07/29,紡織纖維
4415,台原藥,2017/11/21,食品工業
4416,三圓,2000/05/06,建材營造業
4417,金洲,2000/11/07,紡織纖維
4419,元勝,2001/06/26,紡織纖維
4420,光明,2002/04/18,紡織纖維
4429,聚紡,2010/09/15,紡織纖維
4430,耀億,2011/06/09,其他業
4432,銘旺實,2012/11/26,紡織纖維
4433,興采,2014/11/03,紡織纖維
4502,健信,1995/12/12,電機機械
4503,金雨,1996/12/19,電機機械
4506,崇友,1997/12/06,電機機械
4510,高鋒,1998/02/24,電機機械
4513,福裕,1998/03/25,電機機械
4523,永彰,1999/11/22,電機機械
4527,方土霖,2000/09/28,電機機械
4528,江興鍛,2001/02/12,電機機械
4529,淳紳,2001/05/04,其他業
4530,宏易,2001/04/30,電機機械
4533,協易機,2002/04/26,電機機械
4534,慶騰,2003/03/31,電機機械
4535,至興,2003/04/16,電機機械
